id,start_time,end_time,coor_x,coor_y
1271,12,20,65,42
1280,0,12,74,43
1281,12,20,46,36
1290,0,12,35,60
1291,12,20,42,30
1300,0,12,52,38
1301,12,20,24,28
1310,0,12,38,35
1311,12,20,30,34
1320,0,12,78,49
1321,12,20,32,38
1330,0,12,17,34
1331,12,20,71,28
1340,0,12,23,77
1341,12,20,15,54
1350,0,12,10,55
1351,12,20,18,64
1360,0,12,63,10
1361,12,20,21,20
1370,0,12,14,77
1371,12,20,49,16
1380,0,12,55,67
1381,12,20,36,29
1390,0,12,62,44
1391,12,20,59,60
1400,0,12,61,30
1401,12,20,28,53
